127.0.0.1 - - [18/Jan/2016:10:30:46 -0600] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [18/Jan/2016:10:30:47 -0600] "GET /Hello_World/Hello%20World.jsp HTTP/1.1" 500 2528
0:0:0:0:0:0:0:1 - - [18/Jan/2016:10:32:04 -0600] "GET /Hello_World/Hello%20World.jsp HTTP/1.1" 500 2528
0:0:0:0:0:0:0:1 - - [18/Jan/2016:10:32:38 -0600] "GET /Hello_World/Hello%20World.jsp HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [18/Jan/2016:10:33:13 -0600] "GET /Hello_World/Hello%20World.jsp HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [18/Jan/2016:10:45:12 -0600] "GET /Hello_World/Request%20Parameter.jsp HTTP/1.1" 200 292
0:0:0:0:0:0:0:1 - - [18/Jan/2016:10:46:31 -0600] "GET /Hello_World/Request%20Parameter.jsp HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [18/Jan/2016:10:47:12 -0600] "GET /Hello_World/Request%20Parameter.jsp?search=true&terms=jsp&user=Matt HTTP/1.1" 200 348
0:0:0:0:0:0:0:1 - - [18/Jan/2016:10:48:23 -0600] "GET /Hello_World/Request%20Parameter.jsp HTTP/1.1" 200 204
0:0:0:0:0:0:0:1 - - [18/Jan/2016:10:48:29 -0600] "GET /Hello_World/Request%20Parameter.jsp?search=true&terms=jsp&user=Matt HTTP/1.1" 200 365
0:0:0:0:0:0:0:1 - - [18/Jan/2016:13:56:14 -0600] "GET /Hello_World/Request%20Parameter.jsp HTTP/1.1" 200 204
0:0:0:0:0:0:0:1 - - [18/Jan/2016:13:56:24 -0600] "GET /Hello_World/Request%20Parameter.jsp HTTP/1.1" 200 204
